url_hash,room_count,house_floors,apt_floor,price,sqm,sqm_price,apt_address,listed_date,removed_date,days_listed,view_count
hejdl,2,2,2,18000,28,643,Turkalnes iela 17,2021.09.12,2021.10.24,41,
agnhd,1,5,4,39000,30,1300,Malkalnes 6,2021.09.28,2021.10.26,27,
bipdj,2,9,7,60000,48,1250,Zilokalnu 16,2021.08.04,2021.10.26,82,
exnml,3,9,6,95000,63,1508,Zilo kalnu prospekts 10,2021.09.28,2021.10.26,27,
fcdfi,3,2,2,44000,62,710,Vidus prospekts 9,2021.09.20,2021.10.26,35,
gjhdx,1,5,1,28600,26,1100,Mālkalnes prospekts 15,2021.09.30,2021.10.27,26,
adbfh,3,5,1,97500,82,1189,Mednieku 19/1,2021.08.23,2021.10.28,65,
bidim,3,9,9,85000,62,1371,Zilokalnu pr. 20,2021.09.16,2021.10.28,41,
fhhde,3,5,1,63000,59,1068,Malkalnes pr. 33,2021.09.30,2021.10.28,27,
gkopl,2,9,8,41000,48,854,Zilokalnu prospekts 22,2021.09.16,2021.10.28,41,
fjfdb,1,5,4,32000,30,1067,Mālkalnes prospekts 29,2021.10.20,2021.10.29,8,
aeflx,2,5,5,65000,54,1204,Parka 10,2021.10.23,2021.10.30,6,
bhlho,2,2,2,31200,52,600,Tīnūžu iela 8,2021.10.17,2021.10.31,13,
bpjfb,2,5,2,64000,49,1306,Mālkalnes prospekts 23,2021.10.03,2021.10.31,27,
effed,1,4,3,29000,29,1000,Grīvas prospekts 6,2021.10.12,2021.11.02,20,
ahxln,3,5,1,87000,64,1359,Bērzu aleja 6,2021.09.22,2021.11.03,41,
heonk,3,5,3,87500,66,1326,Grīvas prospekts 29,2021.09.23,2021.11.04,41,
aebeb,1,1,1,34000,30,1133,Akmeņu iela 50,2021.09.24,2021.11.05,41,
cegid,1,5,5,32000,30,1067,Skolas iela 5,2021.10.24,2021.11.05,11,
gcghm,1,3,2,25000,30,833,Grīvas pr. 23,2021.10.22,2021.11.05,13,
bihhm,2,5,5,51000,54,944,Nogāzes iela 2,2021.11.01,2021.11.06,4,
afdco,3,9,7,85000,69,1232,Rigas iela 16,2021.10.10,2021.11.07,27,
ahohg,3,5,1,87000,64,1359,Bērzu alejā 6,2021.09.14,2021.11.07,53,
acpjm,1,9,9,53750,41,1311,Tīnūžu iela 3a,2021.10.11,2021.11.08,27,
efgdc,1,5,3,28000,26,1077,Mālkalnes prospekts 22,2021.10.11,2021.11.08,27,
ebenn,2,5,1,51500,47,1096,Mālkalnes prospekts 15,2021.08.19,2021.11.09,81,
ahdlj,1,9,1,27500,24,1146,Ikšķiles iela 2,2021.10.14,2021.11.10,26,
eppif,3,9,9,77000,61,1262,Zilokalnu prospekts 16,2021.10.14,2021.11.11,27,
gjxco,3,9,7,75000,69,1087,Rigas iela 16,2021.11.09,2021.11.11,1,
